0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
4.00,1
27.00,1
47.00,1
4.00,1
3.00,1
0.00,1
0.00,1
0.00,1
0.00,1
10.00,1
0.00,1
1.00,1
24.00,1
81.00,1
34.00,1
72.00,1
97.00,1
105.00,1
113.00,1
102.00,1
85.00,1
77.00,1
65.00,1
52.00,1
68.00,1
87.00,1
65.00,1
39.00,1
48.00,1
40.00,1
86.00,1
47.00,1
11.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
7.00,1
10.00,1
14.00,1
30.00,1
24.00,1
9.00,1
2.00,1
0.00,1
0.00,1
5.00,1
6.00,1
0.00,1
0.00,1
5.00,1
27.00,1
27.00,1
54.00,1
52.00,1
70.00,1
75.00,1
39.00,1
56.00,1
34.00,1
29.00,1
46.00,1
36.00,1
43.00,1
46.00,1
60.00,1
55.00,1
60.00,1
48.00,1
84.00,1
93.00,1
97.00,1
94.00,1
67.00,1
68.00,1
64.00,1
71.00,1
75.00,1
65.00,1
69.00,1
80.00,1
86.00,1
81.00,1
95.00,1
76.00,1
99.00,1
116.00,1
138.00,1
120.00,1
141.00,1
155.00,1
177.00,1
195.00,1
171.00,1
159.00,1
142.00,1
151.00,1
139.00,1
129.00,1
112.00,1
124.00,1
101.00,1
96.00,1
115.00,1
138.00,1
131.00,1
111.00,1
125.00,1
135.00,1
143.00,1
136.00,1
143.00,1
152.00,1
162.00,1
151.00,1
144.00,1
137.00,1
137.00,1
145.00,1
146.00,1
142.00,1
138.00,1
138.00,1
138.00,1
113.00,1
105.00,1
133.00,1
121.00,1
91.00,1
80.00,1
97.00,1
95.00,1
123.00,1
117.00,1
105.00,1
105.00,1
97.00,1
115.00,1
115.00,1
137.00,1
150.00,1
145.00,1
128.00,1
120.00,1
136.00,1
121.00,1
97.00,1
77.00,1
107.00,1
81.00,1
52.00,1
25.00,1
46.00,1
15.00,1
7.00,1
0.00,1
0.00,1
0.00,1
0.00,1
1.00,1
0.00,1
0.00,1
10.00,1
34.00,1
21.00,1
60.00,1
73.00,1
77.00,1
79.00,1
32.00,1
34.00,1
11.00,1
0.00,1
0.00,1
12.00,1
16.00,1
0.00,1
31.00,1
36.00,1
62.00,1
40.00,1
88.00,1
110.00,1
155.00,1
150.00,1
146.00,1
147.00,1
141.00,1
135.00,1
147.00,1
153.00,1
143.00,1
149.00,1
151.00,1
146.00,1
150.00,1
142.00,1
154.00,1
163.00,1
179.00,1
166.00,1
173.00,1
194.00,1
188.00,1
182.00,1
162.00,1
168.00,1
146.00,1
147.00,1
147.00,1
156.00,1
163.00,1
149.00,1
152.00,1
161.00,1
129.00,1
142.00,1
89.00,1
79.00,1
40.00,1
36.00,1
27.00,1
39.00,1
47.00,1
32.00,1
44.00,1
51.00,1
81.00,1
89.00,1
135.00,1
121.00,1
115.00,1
125.00,1
85.00,1
79.00,1
52.00,1
56.00,1
64.00,1
50.00,1
46.00,1
78.00,1
88.00,1
47.00,1
71.00,1
81.00,1
126.00,1
113.00,1
142.00,1
155.00,1
161.00,1
153.00,1
150.00,1
142.00,1
151.00,1
156.00,1
159.00,1
157.00,1
178.00,1
177.00,1
166.00,1
165.00,1
165.00,1
157.00,1
162.00,1
176.00,1
190.00,1
174.00,1
189.00,1
209.00,1
207.00,1
201.00,1
201.00,1
195.00,1
172.00,1
182.00,1
189.00,1
198.00,1
189.00,1
189.00,1
186.00,1
179.00,1
173.00,1
185.00,1
187.00,1
175.00,1
162.00,1
169.00,1
156.00,1
151.00,1
143.00,1
149.00,1
154.00,1
162.00,1
171.00,1
161.00,1
156.00,1
168.00,1
158.00,1
147.00,1
145.00,1
142.00,1
153.00,1
155.00,1
181.00,1
177.00,1
207.00,1
210.00,1
216.00,1
187.00,1
199.00,1
221.00,1
223.00,1
217.00,1
225.00,1
218.00,1
191.00,1
172.00,1
193.00,1
213.00,1
225.00,1
213.00,1
231.00,1
233.00,1
231.00,1
229.00,1
215.00,1
217.00,1
192.00,1
166.00,1
161.00,1
187.00,1
188.00,1
197.00,1
156.00,1
156.00,1
156.00,1
153.00,1
135.00,1
134.00,1
139.00,1
160.00,1
160.00,1
149.00,1
113.00,1
100.00,1
72.00,1
86.00,1
78.00,1
88.00,1
78.00,1
70.00,1
68.00,1
68.00,1
62.00,1
68.00,1
73.00,1
69.00,1
96.00,1
102.00,1
116.00,1
119.00,1
83.00,1
85.00,1
68.00,1
63.00,1
65.00,1
65.00,1
65.00,1
73.00,1
80.00,1
68.00,1
89.00,1
85.00,1
120.00,1
120.00,1
142.00,1
168.00,1
163.00,1
145.00,1
146.00,1
144.00,1
158.00,1
161.00,1
187.00,1
171.00,1
211.00,1
221.00,1
226.00,1
202.00,1
215.00,1
229.00,1
215.00,1
195.00,1
213.00,1
220.00,1
183.00,1
149.00,1
158.00,1
192.00,1
195.00,1
168.00,1
178.00,1
191.00,1
177.00,1
198.00,1
172.00,1
150.00,1
141.00,1
161.00,1
151.00,1
138.00,1
139.00,1
136.00,1
143.00,1
147.00,1
165.00,1
155.00,1
174.00,1
189.00,1
195.00,1
175.00,1
184.00,1
193.00,1
179.00,1
154.00,1
184.00,1
201.00,1
207.00,1
190.00,1
195.00,1
204.00,1
186.00,1
197.00,1
189.00,1
170.00,1
151.00,1
165.00,1
139.00,1
128.00,1
89.00,1
60.00,1
84.00,1
112.00,1
127.00,1
150.00,1
137.00,1
113.00,1
104.00,1
128.00,1
123.00,1
97.00,1
72.00,1
71.00,1
58.00,1
80.00,1
67.00,1
51.00,1
52.00,1
58.00,1
56.00,1
58.00,1
60.00,1
60.00,1
56.00,1
65.00,1
72.00,1
56.00,1
54.00,1
48.00,1
48.00,1
67.00,1
113.00,1
96.00,1
124.00,1
137.00,1
158.00,1
179.00,1
167.00,1
147.00,1
137.00,1
152.00,1
152.00,1
135.00,1
111.00,1
113.00,1
84.00,1
80.00,1
94.00,1
104.00,1
131.00,1
123.00,1
139.00,1
150.00,1
149.00,1
143.00,1
145.00,1
152.00,1
155.00,1
146.00,1
134.00,1
134.00,1
112.00,1
110.00,1
92.00,1
73.00,1
71.00,1
88.00,1
71.00,1
65.00,1
54.00,1
59.00,1
60.00,1
54.00,1
55.00,1
56.00,1
55.00,1
59.00,1
59.00,1
59.00,1
91.00,1
79.00,1
112.00,1
127.00,1
156.00,1
149.00,1
143.00,1
145.00,1
125.00,1
134.00,1
126.00,1
102.00,1
72.00,1
94.00,1
69.00,1
56.00,1
56.00,1
58.00,1
55.00,1
56.00,1
56.00,1
64.00,1
62.00,1
56.00,1
56.00,1
60.00,1
54.00,1
54.00,1
67.00,1
56.00,1
67.00,1
91.00,1
118.00,1
139.00,1
111.00,1
89.00,1
64.00,1
50.00,1
51.00,1
76.00,1
85.00,1
56.00,1
60.00,1
73.00,1
116.00,1
126.00,1
151.00,1
147.00,1
147.00,1
149.00,1
147.00,1
150.00,1
153.00,1
144.00,1
138.00,1
141.00,1
140.00,1
140.00,1
144.00,1
145.00,1
152.00,1
150.00,1
161.00,1
165.00,1
175.00,1
167.00,1
170.00,1
179.00,1
186.00,1
197.00,1
181.00,1
173.00,1
167.00,1
170.00,1
170.00,1
167.00,1
158.00,1
161.00,1
154.00,1
151.00,1
144.00,1
144.00,1
108.00,1
109.00,1
69.00,1
64.00,1
70.00,1
70.00,1
81.00,1
83.00,1
78.00,1
84.00,1
126.00,1
116.00,1
151.00,1
158.00,1
163.00,1
169.00,1
152.00,1
138.00,1
99.00,1
89.00,1
118.00,1
126.00,1
159.00,1
162.00,1
179.00,1
179.00,1
181.00,1
168.00,1
178.00,1
185.00,1
191.00,1
200.00,1
190.00,1
185.00,1
178.00,1
173.00,1
177.00,1
189.00,1
200.00,1
192.00,1
206.00,1
207.00,1
201.00,1
200.00,1
205.00,1
201.00,1
206.00,1
216.00,1
222.00,1
213.00,1
211.00,1
199.00,1
208.00,1
220.00,1
222.00,1
217.00,1
219.00,1
221.00,1
219.00,1
221.00,1
221.00,1
224.00,1
224.00,1
217.00,1
217.00,1
227.00,1
227.00,1
224.00,1
192.00,1
205.00,1
187.00,1
174.00,1
167.00,1
178.00,1
192.00,1
202.00,1
216.00,1
211.00,1
206.00,1
198.00,1
183.00,1
187.00,1
174.00,1
165.00,1
165.00,1
172.00,1
179.00,1
172.00,1
168.00,1
171.00,1
177.00,1
188.00,1
199.00,1
179.00,1
179.00,1
184.00,1
187.00,1
194.00,1
199.00,1
211.00,1
207.00,1
194.00,1
189.00,1
195.00,1
190.00,1
189.00,1
189.00,1
189.00,1
190.00,1
187.00,1
185.00,1
185.00,1
175.00,1
179.00,1
155.00,1
113.00,1
121.00,1
153.00,1
152.00,1
121.00,1
111.00,1
153.00,1
168.00,1
171.00,1
179.00,1
172.00,1
166.00,1
163.00,1
152.00,1
162.00,1
153.00,1
146.00,1
115.00,1
135.00,1
120.00,1
86.00,1
70.00,1
95.00,1
113.00,1
145.00,1
151.00,1
108.00,1
102.00,1
100.00,1
112.00,1
113.00,1
105.00,1
81.00,1
118.00,1
120.00,1
121.00,1
135.00,1
124.00,1
121.00,1
125.00,1
111.00,1
110.00,1
136.00,1
142.00,1
135.00,1
124.00,1
116.00,1
103.00,1
107.00,1
131.00,1
123.00,1
117.00,1
131.00,1
101.00,1
96.00,1
92.00,1
111.00,1
124.00,1
109.00,1
91.00,1
73.00,1
63.00,1
73.00,1
102.00,1
131.00,1
125.00,1
93.00,1
87.00,1
118.00,1
92.00,1
73.00,1
64.00,1
68.00,1
76.00,1
71.00,1
104.00,1
101.00,1
146.00,1
153.00,1
177.00,1
178.00,1
165.00,1
167.00,1
147.00,1
139.00,1
113.00,1
124.00,1
116.00,1
131.00,1
95.00,1
97.00,1
105.00,1
116.00,1
95.00,1
103.00,1
101.00,1
94.00,1
88.00,1
83.00,1
85.00,1
96.00,1
96.00,1
83.00,1
91.00,1
93.00,1
119.00,1
118.00,1
147.00,1
146.00,1
146.00,1
144.00,1
137.00,1
116.00,1
151.00,1
151.00,1
149.00,1
151.00,1
153.00,1
149.00,1
161.00,1
152.00,1
157.00,1
179.00,1
206.00,1
181.00,1
207.00,1
231.00,1
247.00,1
242.00,1
225.00,1
230.00,1
198.00,1
206.00,1
189.00,1
156.00,1
146.00,1
176.00,1
158.00,1
151.00,1
135.00,1
136.00,1
130.00,1
116.00,1
101.00,1
121.00,1
136.00,1
128.00,1
131.00,1
131.00,1
150.00,1
149.00,1
156.00,1
133.00,1
140.00,1
169.00,1
179.00,1
169.00,1
183.00,1
179.00,1
179.00,1
179.00,1
203.00,1
195.00,1
193.00,1
208.00,1
191.00,1
179.00,1
166.00,1
173.00,1
154.00,1
151.00,1
129.00,1
125.00,1
144.00,1
143.00,1
163.00,1
182.00,1
183.00,1
162.00,1
163.00,1
188.00,1
199.00,1
168.00,1
155.00,1
147.00,1
133.00,1
153.00,1
151.00,1
154.00,1
108.00,1
123.00,1
116.00,1
127.00,1
112.00,1
97.00,1
84.00,1
108.00,1
109.00,1
87.00,1
83.00,1
87.00,1
134.00,1
117.00,1
92.00,1
79.00,1
56.00,1
59.00,1
43.00,1
89.00,1
80.00,1
23.00,1
60.00,1
59.00,1
73.00,1
86.00,1
99.00,1
79.00,1
89.00,1
108.00,1
128.00,1
138.00,1
117.00,1
113.00,1
96.00,1
107.00,1
105.00,1
88.00,1
97.00,1
92.00,1
91.00,1
116.00,1
156.00,1
137.00,1
149.00,1
157.00,1
160.00,1
167.00,1
162.00,1
157.00,1
153.00,1
145.00,1
153.00,1
158.00,1
157.00,1
152.00,1
156.00,1
160.00,1
166.00,1
163.00,1
172.00,1
175.00,1
178.00,1
181.00,1
175.00,1
170.00,1
160.00,1
152.00,1
153.00,1
163.00,1
161.00,1
151.00,1
147.00,1
155.00,1
161.00,1
170.00,1
174.00,1
162.00,1
158.00,1
159.00,1
157.00,1
160.00,1
140.00,1
111.00,1
126.00,1
136.00,1
131.00,1
131.00,1
130.00,1
126.00,1
142.00,1
151.00,1
155.00,1
146.00,1
145.00,1
138.00,1
125.00,1
131.00,1
118.00,1
130.00,1
131.00,1
125.00,1
131.00,1
124.00,1
104.00,1
131.00,1
141.00,1
128.00,1
126.00,1
112.00,1
107.00,1
107.00,1
144.00,1
138.00,1
149.00,1
149.00,1
155.00,1
156.00,1
155.00,1
155.00,1
150.00,1
152.00,1
149.00,1
146.00,1
115.00,1
126.00,1
131.00,1
155.00,1
158.00,1
138.00,1
146.00,1
155.00,1
179.00,1
169.00,1
170.00,1
173.00,1
170.00,1
170.00,1
158.00,1
159.00,1
154.00,1
147.00,1
145.00,1
159.00,1
159.00,1
152.00,1
170.00,1
187.00,1
194.00,1
174.00,1
174.00,1
187.00,1
170.00,1
165.00,1
165.00,1
165.00,1
169.00,1
169.00,1
166.00,1
166.00,1
158.00,1
161.00,1
155.00,1
151.00,1
140.00,1
149.00,1
145.00,1
141.00,1
134.00,1
143.00,1
147.00,1
147.00,1
159.00,1
166.00,1
173.00,1
167.00,1
194.00,1
179.00,1
178.00,1
170.00,1
177.00,1
187.00,1
188.00,1
184.00,1
146.00,1
130.00,1
126.00,1
190.00,1
146.00,1
110.00,1
97.00,1
109.00,1
105.00,1
97.00,1
102.00,1
126.00,1
119.00,1
95.00,1
88.00,1
111.00,1
77.00,1
88.00,1
140.00,1
129.00,1
131.00,1
152.00,1
135.00,1
121.00,1
69.00,1
60.00,1
99.00,1
121.00,1
150.00,1
126.00,1
113.00,1
155.00,1
125.00,1
73.00,1
25.00,1
48.00,1
76.00,1
44.00,1
46.00,1
56.00,1
56.00,1
27.00,1
46.00,1
85.00,1
84.00,1
59.00,1
80.00,1
80.00,1
59.00,1
76.00,1
91.00,1
58.00,1
85.00,1
121.00,1
152.00,1
168.00,1
163.00,1
127.00,1
86.00,1
93.00,1
157.00,1
146.00,1
133.00,1
143.00,1
143.00,1
134.00,1
127.00,1
134.00,1
141.00,1
128.00,1
127.00,1
121.00,1
133.00,1
139.00,1
156.00,1
143.00,1
121.00,1
141.00,1
133.00,1
105.00,1
100.00,1
131.00,1
135.00,1
130.00,1
119.00,1
125.00,1
126.00,1
127.00,1
96.00,1
126.00,1
92.00,1
56.00,1
46.00,1
60.00,1
34.00,1
35.00,1
1.00,1
12.00,1
36.00,1
63.00,1
111.00,1
70.00,1
32.00,1
10.00,1
3.00,1
15.00,1
3.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
5.00,1
1.00,1
5.00,1
8.00,1
17.00,1
22.00,1
22.00,1
51.00,1
73.00,1
44.00,1
73.00,1
100.00,1
124.00,1
96.00,1
56.00,1
34.00,1
21.00,1
38.00,1
22.00,1
9.00,1
0.00,1
8.00,1
1.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
2.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
0.00,1
1.00,1
10.00,1
3.00,1
0.00,1
0.00,1
0.00,1
0.00,1
2.00,1
7.00,1
15.00,1
6.00,1
13.00,1
38.00,1
59.00,1
18.00,1
40.00,1
83.00,1
102.00,1
73.00,1
48.00,1
29.00,1
16.00,1
26.00,1
19.00,1
38.00,1
47.00,1
39.00,1
72.00,1
138.00,1
147.00,1
52.00,1
46.00,1
131.00,1
118.00,1
65.00,1
56.00,1
52.00,1
48.00,1
51.00,1
36.00,1
27.00,1
26.00,1
26.00,1
20.00,1
9.00,1
6.00,1
21.00,1
9.00,1
2.00,1
0.00,1
0.00,1
3.00,1
14.00,1
16.00,1
8.00,1
12.00,1
27.00,1
21.00,1
17.00,1
34.00,1
67.00,1
44.00,1
25.00,1
56.00,1
60.00,1
71.00,1
73.00,1
72.00,1
55.00,1
50.00,1
64.00,1
76.00,1
81.00,1
89.00,1
89.00,1
108.00,1
111.00,1
94.00,1
97.00,1
91.00,1
86.00,1
91.00,1
100.00,1
104.00,1
91.00,1
83.00,1
86.00,1
108.00,1
153.00,1
190.00,1
143.00,1
155.00,1
121.00,1
136.00,1
190.00,1
200.00,1
137.00,1
127.00,1
185.00,1
243.00,1
227.00,1
198.00,1
224.00,1
158.00,1
113.00,1
123.00,1
151.00,1
127.00,1
95.00,1
101.00,1
120.00,1
117.00,1
96.00,1
77.00,1
85.00,1
97.00,1
118.00,1
113.00,1
118.00,1
123.00,1
109.00,1
97.00,1
111.00,1
116.00,1
154.00,1
142.00,1
110.00,1
93.00,1
119.00,1
65.00,1
69.00,1
97.00,1
77.00,1
81.00,1
129.00,1
169.00,1
146.00,1
183.00,1
184.00,1
151.00,1
134.00,1
152.00,1
172.00,1
129.00,1
119.00,1
60.00,1
63.00,1
59.00,1
121.00,1
92.00,1
56.00,1
71.00,1
100.00,1
73.00,1
62.00,1
56.00,1
52.00,1
56.00,1
52.00,1
105.00,1
100.00,1
143.00,1
142.00,1
135.00,1
113.00,1
120.00,1
128.00,1
121.00,1
136.00,1
140.00,1
127.00,1
130.00,1
89.00,1
141.00,1
158.00,1
198.00,1
178.00,1
206.00,1
230.00,1
154.00,1
145.00,1
136.00,1
130.00,1
141.00,1
160.00,1
184.00,1
156.00,1
163.00,1
176.00,1
184.00,1
179.00,1
186.00,1
190.00,1
190.00,1
174.00,1
163.00,1
190.00,1
162.00,1
137.00,1
131.00,1
140.00,1
144.00,1
141.00,1
158.00,1
166.00,1
166.00,1
161.00,1
157.00,1
160.00,1
158.00,1
151.00,1
158.00,1
154.00,1
158.00,1
173.00,1
183.00,1
193.00,1
185.00,1
169.00,1
158.00,1
158.00,1
165.00,1
175.00,1
199.00,1
186.00,1
220.00,1
226.00,1
232.00,1
207.00,1
211.00,1
235.00,1
227.00,1
224.00,1
210.00,1
209.00,1
194.00,1
190.00,1
186.00,1
194.00,1
193.00,1
179.00,1
178.00,1
191.00,1
206.00,1
210.00,1
220.00,1
216.00,1
209.00,1
194.00,1
189.00,1
201.00,1
192.00,1
183.00,1
170.00,1
184.00,1
179.00,1
157.00,1
170.00,1
187.00,1
185.00,1
182.00,1
182.00,1
178.00,1
176.00,1
184.00,1
170.00,1
158.00,1
136.00,1
119.00,1
120.00,1
138.00,1
140.00,1
120.00,1
116.00,1
131.00,1
157.00,1
173.00,1
186.00,1
171.00,1
126.00,1
99.00,1
109.00,1
129.00,1
116.00,1
99.00,1
95.00,1
105.00,1
101.00,1
100.00,1
112.00,1
100.00,1
97.00,1
97.00,1
94.00,1
117.00,1
155.00,1
156.00,1
141.00,1
117.00,1
99.00,1
117.00,1
116.00,1
112.00,1
147.00,1
151.00,1
179.00,1
179.00,1
181.00,1
160.00,1
152.00,1
163.00,1
178.00,1
194.00,1
191.00,1
179.00,1
163.00,1
155.00,1
191.00,1
186.00,1
186.00,1
184.00,1
191.00,1
194.00,1
187.00,1
182.00,1
191.00,1
189.00,1
189.00,1
198.00,1
210.00,1
197.00,1
210.00,1
218.00,1
218.00,1
219.00,1
208.00,1
205.00,1
195.00,1
199.00,1
206.00,1
209.00,1
203.00,1
201.00,1
203.00,1
204.00,1
205.00,1
208.00,1
197.00,1
195.00,1
200.00,1
198.00,1
192.00,1
200.00,1
195.00,1
190.00,1
193.00,1
191.00,1
197.00,1
195.00,1
195.00,1
191.00,1
183.00,1
194.00,1
193.00,1
191.00,1
179.00,1
179.00,1
173.00,1
184.00,1
150.00,1
142.00,1
131.00,1
163.00,1
160.00,1
125.00,1
108.00,1
96.00,1
139.00,1
147.00,1
189.00,1
189.00,1
176.00,1
192.00,1
201.00,1
153.00,1
118.00,1
183.00,1
172.00,1
153.00,1
108.00,1
136.00,1
163.00,1
169.00,1
127.00,1
163.00,1
130.00,1
108.00,1
81.00,1
93.00,1
73.00,1
75.00,1
85.00,1
81.00,1
73.00,1
76.00,1
131.00,1
81.00,1
70.00,1
81.00,1
73.00,1
70.00,1
73.00,1
76.00,1
68.00,1
69.00,1
79.00,1
71.00,1
109.00,1
125.00,1
143.00,1
89.00,1
105.00,1
157.00,1
169.00,1
178.00,1
147.00,1
131.00,1
84.00,1
85.00,1
113.00,1
96.00,1
130.00,1
149.00,1
181.00,1
173.00,1
184.00,1
166.00,1
189.00,1
197.00,1
205.00,1
201.00,1
203.00,1
205.00,1
205.00,1
204.00,1
208.00,1
208.00,1
214.00,1
211.00,1
211.00,1
211.00,1
204.00,1
205.00,1
197.00,1
193.00,1
186.00,1
195.00,1
194.00,1
177.00,1
163.00,1
150.00,1
184.00,1
189.00,1
198.00,1
197.00,1
202.00,1
203.00,1
207.00,1
201.00,1
208.00,1
216.00,1
221.00,1
223.00,1
215.00,1
211.00,1
206.00,1
203.00,1
205.00,1
210.00,1
231.00,1
223.00,1
240.00,1
247.00,1
248.00,1
235.00,1
237.00,1
245.00,1
249.00,1
242.00,1
238.00,1
245.00,1
223.00,1
211.00,1
211.00,1
223.00,1
220.00,1
209.00,1
205.00,1
214.00,1
218.00,1
229.00,1
231.00,1
219.00,1
211.00,1
211.00,1
214.00,1
211.00,1
211.00,1
197.00,1
199.00,1
211.00,1
207.00,1
201.00,1
202.00,1
197.00,1
201.00,1
211.00,1
208.00,1
201.00,1
204.00,1
203.00,1
205.00,1
208.00,1
211.00,1
205.00,1
207.00,1
205.00,1
204.00,1
206.00,1
199.00,1
202.00,1
201.00,1
203.00,1
199.00,1
201.00,1
200.00,1
200.00,1
201.00,1
200.00,1
201.00,1
197.00,1
202.00,1
203.00,1
208.00,1
210.00,1
218.00,1
219.00,1
220.00,1
207.00,1
207.00,1
224.00,1
235.00,1
235.00,1
206.00,1
207.00,1
200.00,1
202.00,1
198.00,1
197.00,1
194.00,1
195.00,1
195.00,1
193.00,1
195.00,1
201.00,1
229.00,1
222.00,1
216.00,1
201.00,1
205.00,1
215.00,1
216.00,1
219.00,1
206.00,1
206.00,1
201.00,1
197.00,1
195.00,1
200.00,1
203.00,1
203.00,1
201.00,1
201.00,1
195.00,1
201.00,1
201.00,1
205.00,1
204.00,1
209.00,1
203.00,1
201.00,1
200.00,1
200.00,1
200.00,1
200.00,1
203.00,1
201.00,1
202.00,1
198.00,1
198.00,1
201.00,1
195.00,1
200.00,1
201.00,1
201.00,1
195.00,1
197.00,1
194.00,1
189.00,1
179.00,1
192.00,1
204.00,1
198.00,1
203.00,1
199.00,1
192.00,1
213.00,1
208.00,1
195.00,1
195.00,1
194.00,1
199.00,1
203.00,1
218.00,1
211.00,1
225.00,1
227.00,1
227.00,1
224.00,1
227.00,1
223.00,1
213.00,1
207.00,1
218.00,1
223.00,1
221.00,1
206.00,1
215.00,1
224.00,1
224.00,1
218.00,1
214.00,1
218.00,1
216.00,1
214.00,1
207.00,1
211.00,1
210.00,1
219.00,1
218.00,1
204.00,1
194.00,1
181.00,1
191.00,1
209.00,1
221.00,1
207.00,1
222.00,1
219.00,1
221.00,1
224.00,1
222.00,1
218.00,1
213.00,1
211.00,1
211.00,1
213.00,1
211.00,1
224.00,1
221.00,1
209.00,1
210.00,1
215.00,1
211.00,1
207.00,1
205.00,1
211.00,1
211.00,1
201.00,1
195.00,1
181.00,1
185.00,1
201.00,1
205.00,1
207.00,1
187.00,1
186.00,1
187.00,1
186.00,1
193.00,1
195.00,1
184.00,1
181.00,1
172.00,1
170.00,1
169.00,1
173.00,1
188.00,1
191.00,1
195.00,1
197.00,1
195.00,1
192.00,1
188.00,1
194.00,1
192.00,1
185.00,1
177.00,1
183.00,1
179.00,1
185.00,1
181.00,1
170.00,1
179.00,1
187.00,1
200.00,1
211.00,1
210.00,1
195.00,1
209.00,1
222.00,1
224.00,1
211.00,1
195.00,1
193.00,1
181.00,1
185.00,1
179.00,1
173.00,1
179.00,1
189.00,1
203.00,1
218.00,1
210.00,1
194.00,1
190.00,1
206.00,1
209.00,1
193.00,1
179.00,1
177.00,1
172.00,1
173.00,1
179.00,1
179.00,1
176.00,1
173.00,1
179.00,1
188.00,1
192.00,1
184.00,1
187.00,1
193.00,1
192.00,1
188.00,1
188.00,1
182.00,1
181.00,1
185.00,1
192.00,1
195.00,1
197.00,1
198.00,1
201.00,1
198.00,1
189.00,1
194.00,1
195.00,1
188.00,1
190.00,1
198.00,1
199.00,1
197.00,1
195.00,1
197.00,1
201.00,1
200.00,1
201.00,1
198.00,1
185.00,1
177.00,1
186.00,1
189.00,1
195.00,1
194.00,1
202.00,1
202.00,1
198.00,1
202.00,1
195.00,1
188.00,1
198.00,1
210.00,1
209.00,1
203.00,1
204.00,1
202.00,1
205.00,1
209.00,1
218.00,1
210.00,1
217.00,1
227.00,1
235.00,1
219.00,1
225.00,1
239.00,1
247.00,1
255.00,1
253.00,1
243.00,1
223.00,1
203.00,1
207.00,1
231.00,1
234.00,1
209.00,1
211.00,1
232.00,1
253.00,1
254.00,1
255.00,1
251.00,1
248.00,1
242.00,1
250.00,1
250.00,1
234.00,1
216.00,1
220.00,1
234.00,1
238.00,1
238.00,1
250.00,1
247.00,1
227.00,1
234.00,1
230.00,1
218.00,1
